"grp","var1","var2","vcov","sdcor","env","trait","V_tot","V_prop"
"position","(Intercept)",NA,0.231048096614301,0.480674626555533,"GH","shoot",1.56502777431963,0.147631946477593
"line","(Intercept)",NA,0.143506827132772,0.37882294958565,"GH","shoot",1.56502777431963,0.0916960257751078
"Residual",NA,NA,1.19047285057255,1.09108792064277,"GH","shoot",1.56502777431963,0.7606720277473
"position","(Intercept)",NA,0.0704452148837416,0.265415174554398,"GH","leaf",1.08093304585028,0.0651707477666467
"line","(Intercept)",NA,0.0247012356612555,0.157166267567998,"GH","leaf",1.08093304585028,0.022851772138972
"Residual",NA,NA,0.985786595305281,0.992867863970469,"GH","leaf",1.08093304585028,0.911977480094381
"position","(Intercept)",NA,4.27093467222632,2.06662397939885,"GH","nod",51.4939131659028,0.0829405731599043
"line","(Intercept)",NA,2.58820073969957,1.60878859384929,"GH","nod",51.4939131659028,0.0502622655877972
"Residual",NA,NA,44.6347777539769,6.6809264143513,"GH","nod",51.4939131659028,0.866797161252298
"position","(Intercept)",NA,0.00067629768783642,0.0260057241359748,"GH","choice",0.0823807222618968,0.00820941683038904
"line","(Intercept)",NA,0.0107515882599166,0.1036898657532,"GH","choice",0.0823807222618968,0.130510973498584
"Residual",NA,NA,0.0709528363141438,0.266369736107809,"GH","choice",0.0823807222618968,0.861279609671027
"position","(Intercept)",NA,2.08181200045805,1.44284857156184,"GH","red_nod",39.7006829986243,0.0524376872944524
"line","(Intercept)",NA,2.86133363152624,1.69154770300049,"GH","red_nod",39.7006829986243,0.0720726550630221
"Residual",NA,NA,34.7575373666401,5.89555233770679,"GH","red_nod",39.7006829986243,0.875489657642525
"line","(Intercept)",NA,0.103836149595173,0.322236170525863,"plot_1","shoot",1.51839088230035,0.0683856514192591
"diss","(Intercept)",NA,0.38667251386358,0.621829971827975,"plot_1","shoot",1.51839088230035,0.254659401851633
"Residual",NA,NA,1.02788221884159,1.01384526375655,"plot_1","shoot",1.51839088230035,0.676954946729108
"line","(Intercept)",NA,0.298785776628097,0.546613004444732,"plot_1","leaf",13.54557307904,0.0220578173315109
"diss","(Intercept)",NA,3.22238922382322,1.79510145223695,"plot_1","leaf",13.54557307904,0.237892424707334
"Residual",NA,NA,10.0243980785887,3.16613298498163,"plot_1","leaf",13.54557307904,0.740049757961155
"line","(Intercept)",NA,0.455821298853638,0.675145390900092,"plot_1","nod",5.9334341299828,0.0768225093374314
"diss","(Intercept)",NA,0.693644320423878,0.832853120558408,"plot_1","nod",5.9334341299828,0.116904360144281
"Residual",NA,NA,4.78396851070528,2.18722849988411,"plot_1","nod",5.9334341299828,0.806273130518288
"line","(Intercept)",NA,0.141166585826794,0.375721420505664,"plot_2","shoot",3.25890179520024,0.0433172260774186
"diss","(Intercept)",NA,1.48717148738435,1.21949640728637,"plot_2","shoot",3.25890179520024,0.456341301715407
"Residual",NA,NA,1.63056372198909,1.27693528496518,"plot_2","shoot",3.25890179520024,0.500341472207175
"line","(Intercept)",NA,0.219095523069695,0.468076407298739,"plot_2","leaf",20.1475028964664,0.0108745745909842
"diss","(Intercept)",NA,6.78416887369694,2.60464371338902,"plot_2","leaf",20.1475028964664,0.336725047692476
"Residual",NA,NA,13.1442384996997,3.62549837949208,"plot_2","leaf",20.1475028964664,0.652400377716539
"line","(Intercept)",NA,0.295995599485264,0.544054776180913,"plot_2","nod",5.04840098277255,0.0586315549211198
"diss","(Intercept)",NA,0.75667771303825,0.869872239491668,"plot_2","nod",5.04840098277255,0.149884629929433
"Residual",NA,NA,3.99572767024903,1.99893163220982,"plot_2","nod",5.04840098277255,0.791483815149447
"line","(Intercept)",NA,0.302409883362471,0.549918069681722,"plot_3","shoot",2.46114597043537,0.12287360725255
"diss","(Intercept)",NA,0.485171676939231,0.696542659812901,"plot_3","shoot",2.46114597043537,0.197132426425486
"Residual",NA,NA,1.67356441013367,1.29366317491597,"plot_3","shoot",2.46114597043537,0.679993966321965
"line","(Intercept)",NA,1.96491885444234,1.40175563292692,"plot_3","leaf",11.9310953680272,0.164688890150682
"diss","(Intercept)",NA,1.16176139123655,1.0778503566064,"plot_3","leaf",11.9310953680272,0.0973725676814073
"Residual",NA,NA,8.80441512234829,2.96722347024087,"plot_3","leaf",11.9310953680272,0.737938542167911
"line","(Intercept)",NA,8.55610228077806e-09,9.24992015142729e-05,"plot_3","nod",4.0655683105198,2.10452798410467e-09
"diss","(Intercept)",NA,0.474919717107159,0.689144191811234,"plot_3","nod",4.0655683105198,0.11681508729746
"Residual",NA,NA,3.59064858485654,1.89490067941741,"plot_3","nod",4.0655683105198,0.883184910598012
"line","(Intercept)",NA,0.118746748588004,0.344596501125598,"plot_4","shoot",1.35028469641326,0.0879420087507687
"diss","(Intercept)",NA,0.0823763171294011,0.287012747329106,"plot_4","shoot",1.35028469641326,0.0610066287118679
"Residual",NA,NA,1.14916163069586,1.07198956650513,"plot_4","shoot",1.35028469641326,0.851051362537363
"line","(Intercept)",NA,0.132051268386799,0.36338859143732,"plot_4","leaf",3.71422130380574,0.0355528810982518
"diss","(Intercept)",NA,0.206059834319841,0.453938139309577,"plot_4","leaf",3.71422130380574,0.0554786097717719
"Residual",NA,NA,3.3761102010991,1.83741944071001,"plot_4","leaf",3.71422130380574,0.908968509129976
"line","(Intercept)",NA,0,0,"plot_4","nod",3.49131316136252,0
"diss","(Intercept)",NA,0,0,"plot_4","nod",3.49131316136252,0
"Residual",NA,NA,3.49131316136252,1.8685055957536,"plot_4","nod",3.49131316136252,1
"line","(Intercept)",NA,0.0906646385665569,0.301105693347962,"plot_1","fruit",0.930610342179905,0.097424920460458
"diss","(Intercept)",NA,0.0399881629250349,0.199970405122945,"plot_1","fruit",0.930610342179905,0.0429698243320236
"Residual",NA,NA,0.799957540688314,0.89440345520817,"plot_1","fruit",0.930610342179905,0.859605255207518
"line","(Intercept)",NA,0.452002502553086,0.672311313717898,"plot_2","fruit",4.23514784319138,0.106726499118501
"diss","(Intercept)",NA,1.52226686206926,1.2338017920514,"plot_2","fruit",4.23514784319138,0.359436534079093
"Residual",NA,NA,2.26087847856904,1.50362178707581,"plot_2","fruit",4.23514784319138,0.533836966802406
"line","(Intercept)",NA,0.0175474122438445,0.132466645778643,"plot_3","fruit",0.285042452745378,0.0615606976253437
"diss","(Intercept)",NA,0.00382714322905838,0.0618639089377513,"plot_3","fruit",0.285042452745378,0.013426572751523
"Residual",NA,NA,0.263667897272475,0.513486024417875,"plot_3","fruit",0.285042452745378,0.925012729623133
